epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2098,1.39027,2.47441,1.71641,0.63368,0.4789,0.50864,0.29219,1.37624,2.14837,1.94055,0.000548807,0.000548807,0.000548807
2,52.6145,1.41374,1.79228,1.67977,0.34252,0.37338,0.35911,0.16449,1.6168,2.34608,2.18596,0.00106803,0.00106803,0.00106803
3,71.3548,1.41739,1.63284,1.69089,0.26703,0.38961,0.21679,0.08198,2.02528,2.80361,2.78527,0.00155057,0.00155057,0.00155057
4,89.0324,1.45759,1.56827,1.72908,0.41096,0.47132,0.33479,0.13235,1.98313,2.72491,2.42831,0.00150197,0.00150197,0.00150197
5,106.666,1.40283,1.44467,1.67124,0.63408,0.53358,0.60679,0.31146,1.59365,1.67249,2.06916,0.00144696,0.00144696,0.00144696
6,124.372,1.36277,1.32515,1.65321,0.70808,0.64286,0.69736,0.34869,1.5758,1.63589,2.03182,0.00139195,0.00139195,0.00139195
7,142.106,1.35769,1.2638,1.63714,0.78549,0.727,0.78037,0.43712,1.4373,1.26157,1.88093,0.00133693,0.00133693,0.00133693
8,159.64,1.32797,1.25079,1.60507,0.79049,0.71456,0.78966,0.4711,1.37026,1.1029,1.81666,0.00128192,0.00128192,0.00128192
9,177.375,1.3011,1.22329,1.58788,0.61241,0.68426,0.60975,0.31749,1.46705,1.79766,1.90107,0.00122691,0.00122691,0.00122691
10,194.918,1.30076,1.17551,1.591,0.79512,0.71325,0.79045,0.4593,1.36275,1.11412,1.78319,0.0011719,0.0011719,0.0011719
11,212.376,1.25781,1.08363,1.53614,0.73782,0.68561,0.74605,0.44808,1.38242,1.19147,1.76828,0.00111689,0.00111689,0.00111689
12,229.867,1.28106,1.13328,1.55786,0.79306,0.75695,0.816,0.50661,1.26857,1.02291,1.70463,0.00106188,0.00106188,0.00106188
13,247.396,1.23096,1.06359,1.54194,0.81491,0.75094,0.82443,0.52589,1.22813,0.979,1.65523,0.00100687,0.00100687,0.00100687
14,265.099,1.222,1.03904,1.52539,0.82296,0.73135,0.82128,0.51559,1.26593,0.94692,1.67773,0.000951857,0.000951857,0.000951857
15,282.925,1.2149,1.04948,1.51837,0.78142,0.73214,0.80975,0.52148,1.22814,1.02491,1.65563,0.000896846,0.000896846,0.000896846
16,300.45,1.19009,1.0162,1.49895,0.78737,0.79816,0.85028,0.54797,1.20855,0.90313,1.62856,0.000841835,0.000841835,0.000841835
17,317.86,1.17504,0.97607,1.48762,0.80856,0.77367,0.842,0.53358,1.24588,0.92715,1.65837,0.000786824,0.000786824,0.000786824
18,335.323,1.17893,0.96136,1.47282,0.78423,0.79437,0.84326,0.53491,1.22814,0.93292,1.64385,0.000731813,0.000731813,0.000731813
19,352.835,1.17011,0.95927,1.4909,0.85559,0.78224,0.8716,0.58186,1.14704,0.84931,1.55725,0.000676802,0.000676802,0.000676802
20,370.48,1.17079,0.96381,1.48641,0.82073,0.77447,0.84454,0.55623,1.16345,0.91517,1.58703,0.000621791,0.000621791,0.000621791
21,389.731,1.08304,0.84792,1.53617,0.81768,0.81358,0.85667,0.55292,1.14267,0.8568,1.56401,0.00056678,0.00056678,0.00056678
22,407.252,1.07461,0.82715,1.51477,0.81008,0.80547,0.8671,0.57016,1.13642,0.8378,1.54895,0.000511769,0.000511769,0.000511769
23,424.66,1.04367,0.80152,1.4931,0.85127,0.8068,0.87568,0.58805,1.11476,0.79108,1.52545,0.000456758,0.000456758,0.000456758
24,441.973,1.03666,0.77407,1.49487,0.85129,0.80898,0.88349,0.59946,1.09143,0.78181,1.50065,0.000401747,0.000401747,0.000401747
25,459.453,1.01283,0.76746,1.48096,0.84947,0.79882,0.87898,0.5924,1.09817,0.78766,1.50606,0.000346736,0.000346736,0.000346736
26,476.749,0.97966,0.7385,1.4403,0.85847,0.81169,0.87802,0.59757,1.07805,0.75842,1.48352,0.000291725,0.000291725,0.000291725
27,494.112,0.96935,0.71162,1.4348,0.84523,0.80492,0.87878,0.61605,1.05368,0.76543,1.46432,0.000236714,0.000236714,0.000236714
28,511.966,0.95717,0.7058,1.42712,0.87559,0.80348,0.88898,0.61728,1.04294,0.73196,1.45062,0.000181703,0.000181703,0.000181703
29,529.311,0.96258,0.6968,1.4072,0.87693,0.81548,0.8949,0.6263,1.02831,0.71085,1.43636,0.000126692,0.000126692,0.000126692
30,546.719,0.93847,0.68037,1.4165,0.84347,0.8278,0.89076,0.62455,1.01801,0.738,1.43211,7.1681e-05,7.1681e-05,7.1681e-05
